Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop Asus TUF Gaming FX506HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HN002T),25.690.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2933 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),144 Hz,Tấm nền IPS Chống chói Anti Glare,,"Card rời - NVIDIA GeForce RTX3050, 4 GB",DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Bluetooth 5.2 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2020
Laptop Dell Gaming G5 15 5505 R5 4600H/8GB/512GB/6GB RX5600M/120Hz/Win10 (70252801),25.590.000₫,AMD Ryzen 5 - 4600H,6,12,3.00 GHz,Turbo Boost 4.0 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),120 Hz,Chống chói Anti Glare WVA,,"Card rời - AMD Radeon RX 5600M, 6 GB",Nahimic Audio,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
2 x USB 2.0
Mini DisplayPort
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.9 mm - Nặng 2.5 kg,Vỏ nhựa,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2020
Laptop Dell Gaming G5 15 5505 R5 4600H/8GB/512GB/6GB RX5600M/120Hz/Win10 (70252801),25.590.000₫,AMD Ryzen 5 - 4600H,6,12,3.00 GHz,Turbo Boost 4.0 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),120 Hz,Chống chói Anti Glare WVA,,"Card rời - AMD Radeon RX 5600M, 6 GB",Nahimic Audio,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
2 x USB 2.0
Mini DisplayPort
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.9 mm - Nặng 2.5 kg,Vỏ nhựa,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2020
Laptop Lenovo Yoga 7 14ITL5 i5 1135G7/8GB/512GB/Touch/Pen/Win10 (82BH00CJVN),25.590.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),60 Hz,300 nits Glossy Tấm nền IPS,Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Atmos Stereo speakers,"1 x USB 3.2 (Always on)
2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Tiêu chuẩn Nền Intel Evo
TPM 2.0",Có,Dài 320.4 mm - Rộng 214.6 mm - Dày 17.7 mm - Nặng 1.43 kg,Vỏ kim loại,71 Wh,Windows 10 Home SL,2020
Laptop Dell Vostro 3400 i7 1165G7/8GB/512GB/2GB MX330/Win10 (V4I7015W),25.490.000₫,Intel Core i7 Tiger Lake - 1165G7,,,2.80 GHz,Turbo Boost 4.7 GHz,,8 GB,DDR4 (2 khe),3200 MHz,16 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,14 inch,Full HD (1920 x 1080),,"60Hz
Chống chói Anti Glare
WVA
LED Backlit",,"Card rời - NVIDIA GeForce MX330, 2 GB",Realtek High Definition Audio,"2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài Dài 328.7 mm - Rộng Rộng 239.5 mm - Dày Dày 19.9 mm - Nặng 1.64 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop Lenovo ThinkBook 14s Yoga ITL i5 1135G7/16GB/512GB/Touch/Pen/Win10 (20WE004DVN),25.490.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,DDR4 2 khe (8GB onboard+ 1 khe 8GB),3200 MHz,40 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),,"100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Audio Sound by Dynaudio,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bút cảm ứng
Bảo mật vân tay
Công tắc khóa camera",Có,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm - Nặng 1.5 kg,Vỏ kim loại,60Wh,Windows 10 Home SL,2021
Laptop Acer Nitro 5 Gaming AN515 57 54MV i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QENSV.003),26.490.000₫,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Acer ComfyView
LED Backlit
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Acer TrueHarmony DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 11 Home SL,2021
Laptop Acer Nitro 5 AN515 57 51G6 i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (NH.QD8SV.002),24.990.000₫ *,Intel Core i5 Tiger Lake - 11400H,6,12,2.70 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,"Tấm nền IPS
LED Backlit
Acer ComfyView",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Acer TrueHarmony DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) Bluetooth 5.1,,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Vỏ nhựa,"4-cell Li-ion, 57 Wh",Windows 10 Home SL,2021
Laptop Lenovo ThinkBook 14s Yoga ITL i5 1135G7/8GB/512GB/Touch/Pen/Win10 (20WE004CVN),24.390.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,40 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",14 inch,Full HD (1920 x 1080),,"100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Audio Sound by Dynaudio,"1 x USB 3.2
1 x USB 3.2 (Always on)
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
USB Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,"Bút cảm ứng
Bảo mật vân tay
Công tắc khóa camera",Có,Dài 320 mm - Rộng 216 mm - Dày 16.9 mm - Nặng 1.5 kg,Vỏ kim loại,60Wh,Windows 10 Home SL,2021
Laptop HP Gaming VICTUS 16 e0175AX R5 5600H/8GB/512GB/4GB RTX3050/144Hz/Win10 (4R0U8PA),24.290.000₫,AMD Ryzen 5 - 5600H,6,12,3.30 GHz,Turbo Boost 4.2 GHz,16 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
Không hỗ trợ khe cắm HDD
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",16.1 inch,Full HD (1920 x 1080),144 Hz,"250 nits
Chống chói Anti Glare
Công nghệ IPS",,"Card rời - NVIDIA GeForce RTX3050, 4 GB",Bang & Olufsen audio HP Audio Boost,"3x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm - Nặng 2.46 kg,Vỏ nhựa,"4-cell Li-ion, 70 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 3501 i7 1165G7/8GB/512GB/2GB MX330/OfficeH&S 2019/Win10 (70253898),24.090.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (2 khe),3200 MHz,16 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,"Card rời - NVIDIA GeForce MX330, 2 GB",Realtek High Definition Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Bluetooth Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.91 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Dell Inspiron 3501 i7 1165G7/8GB/512GB/2GB MX330/Win10 (70234075),23.790.000₫,Intel Core i7 Tiger Lake - 1165G7,,,2.80 GHz,Turbo Boost 4.7 GHz,,8 GB,DDR4 (2 khe),3200 MHz,16 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),,"60Hz
Chống chói Anti Glare
WVA",,"Card rời - NVIDIA GeForce MX330, 2 GB",Realtek High Definition Audio,"2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.91 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop Asus ZenBook UX325EA i5 1135G7/8GB/512GB/OLED/Cáp/Túi/Win10 (KG363T),23.790.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",13.3 inch,Full HD (1920 x 1080) OLED,60 Hz,"100% DCI-P3
400 nits
OLED",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
HDMI",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,Camera IR HD webcam,Mở khóa khuôn mặt Độ bền chuẩn quân đội MLT STD 810G,Có,Dài 304.2 mm - Rộng 203 mm - Dày 13.9 mm - Nặng 1.14 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 67 Wh",Windows 10 Home SL,2021
Laptop Asus ZenBook UX425EA i5 1135G7/8GB/512GBCáp/Túi/Win10 (KI429T),23.490.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
100% sRGB
400 nits",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon,"2 x Thunderbolt 4 USB-C
1 x USB 3.2
HDMI",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam Camera IR,Độ bền chuẩn quân đội MLT STD 810G Mở khóa khuôn mặt,Có,Dài 319 mm - Rộng 208 mm - Dày 13.9 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 67 Wh",Windows 10 Home SL,2020
Laptop HP Gaming VICTUS 16 e0177AX R5 5600H/8GB/512GB/4GB GTX1650/144Hz/Win10 (4R0U9PA),22.790.000₫,AMD Ryzen 5 - 5600H,6,12,3.30 GHz,Turbo Boost 4.2 GHz,16 MB,8 GB,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
Không hỗ trợ khe cắm HDD
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",16.1 inch,Full HD (1920 x 1080),144 Hz,"250 nits
Chống chói Anti Glare
Công nghệ IPS",,Card rời - NVIDIA GeForce GTX 1650 4 GB,Bang & Olufsen audio HP Audio Boost,"3x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.2 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm - Nặng 2.46 kg,Vỏ nhựa,"4-cell Li-ion, 70 Wh",Windows 10 Home SL,2021
Laptop Acer Swift 3 SF313 53 518Y i5 1135G7/16GB/512GB/Win10 (NX.A4JSV.003),22.990.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,13.5 inch,QHD (2256 x 1504),,ACER CineCrystal LED Backlit Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Acer TrueHarmony DTS Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 302.5 mm - Rộng 233.88 mm - Dày 15.95 mm - Nặng 1.19 kg,Vỏ kim loại nguyên khối,"Li-ion, 56 Wh",Windows 10 Home SL,2020
Laptop Dell Vostro 5510 i5 11300H/8GB/512GB/OfficeH&S 2019/Win10 (70253901),22.990.000₫,Intel Core i5 Tiger Lake - 11300H,4,8,3.10 GHz,Turbo Boost 4.4 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,Full HD (1920 x 1080),60 Hz,LED Backlight WVA,,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay,Có,Dài 356 mm - Rộng 228 mm - Dày 17.9 mm - Nặng 1.75 kg,Vỏ nhựa - nắp lưng bằng kim loại,"4-cell Li-ion, 54 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop MSI Gaming GF63 Thin 10SC i7 10750H/8GB/512GB/4GB GTX1650 Max-Q/144Hz/Balo/Chuột/Win10 (480VN),22.990.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare Công nghệ IPS,,"Card rời - GeForce GTX 1650 Max-Q Design, 4GB",Hi-Res Audio Nahimic Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2021
Laptop Dell Inspiron 3501 i5 1135G7/8GB/512GB/2GB MX330/Office H&S2019/Win10 (70253897),22.090.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (2 khe),3200 MHz,16 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Chống chói Anti Glare WVA,,"Card rời - NVIDIA GeForce MX330, 2 GB",Realtek High Definition Audio,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Bluetooth Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.91 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Asus TUF Gaming FX506LH i5 10300H/8GB/512GB/144Hz/4GB GTX1650/Win10 (HN002T),21.690.000₫,Intel Core i5 Comet Lake - 10300H,4,8,2.50 GHz,Turbo Boost 4.5 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2933 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),144 Hz,Tấm nền IPS Chống chói Anti Glare,,Card rời - NVIDIA GeForce GTX 1650 4 GB,DTS X:Ultra Audio,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm - Nặng 2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 48 Wh",Windows 10 Home SL,2020
Laptop Lenovo ThinkBook 14 G2 ITL i7 1165G7/8GB/512GB/Win10 (20VD003LVN),21.490.000₫ *,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,8 GB,DDR4 (On board +1 khe),3200 MHz,40 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),60 Hz,250 nits Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,"Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Độ bền chuẩn quân đội MLT STD 810H",Không có đèn,Dài 323 mm - Rộng 218 mm - Dày 17.9 mm - Nặng 1.4 kg,Vỏ kim loại,45 Wh,Windows 10 Home SL,2020
Laptop Lenovo Ideapad 5 15ITL05 i5 1135G7/8GB/512GB/2GB MX450/Win10 (82FG00P5VN),21.090.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,"Chống chói Anti Glare
Tấm nền IPS
Độ sáng 300 nits",,"Card rời - NVIDIA GeForce MX450, 2 GB",Dolby AudioPremium,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),SD,HD webcam,Bảo mật vân tay Công tắc khóa camera,Có,Dài 356.67 mm - Rộng 233.13 mm - Dày 19.9 mm - Nặng 1.66 kg,Vỏ nhựa - nắp lưng bằng kim loại,57 Wh,Windows 10 Home SL,2020
Laptop Acer Aspire 7 Gaming A715 75G 52S5 i5 9300H/8GB/512GB/4GB GTX1650Ti/Balo/Win10 (NH.Q85SV.002),20.990.000₫ *,Intel Core i5 Coffee Lake - 9300H,4,8,2.40 GHz,Turbo Boost 4.1 GHz,8 MB,8 GB,DDR4 (2 khe),2666 MHz,32 GB,512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,Tấm nền IPS Chống chói Anti Glare,,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Acer TrueHarmony,"LAN (RJ45)
USB 2.0
HDMI
USB Type-C
2 x USB 3.2
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax) Bluetooth 5.0,,HD webcam,,Có,Dài 363.4 mm - Rộng 254.5 mm - Dày 20.9 mm - Nặng 2.1 kg,Vỏ nhựa,"Li-ion, 48 Wh",Windows 10 Home SL,2020
Laptop Dell Vostro 3500 i5 1135G7/8GB/512GB/Office H&S2019/Win10 (7G3983),20.990.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666 MHz,32 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB),15.6 inch,Full HD (1920 x 1080),60 Hz,"60Hz
Chống chói Anti Glare
LED Backlit
WVA",,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,,Không có đèn,Dài 364 mm - Rộng 249 mm - Dày 19.9 mm - Nặng 1.98 kg,Vỏ nhựa,"3-cell Li-ion, 42 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2021
Laptop Asus VivoBook A515EP i5 1135G7/8GB/512GB/2GB MX330/Win10 (BN334T),20.490.000₫ *,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,24 GB,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),60 Hz,"100% sRGB
Tấm nền IPS
Độ sáng 300 nits",,"Card rời - NVIDIA GeForce MX330, 2 GB",Audio by Harman/Kardon,"2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB 3.1
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 359 mm - Rộng 235 mm - Dày 17.9 mm - Nặng 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2020
Laptop Asus VivoBook A515EP i5 1135G7/8GB/512GB/2GB MX330/Win10 (BN544T),20.790.000₫,Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,8 GB,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200 MHz,24 GB,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,15.6 inch,Full HD (1920 x 1080),60 Hz,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS
Độ sáng 300 nits",,"Card rời - NVIDIA GeForce MX330, 2 GB",Audio by Harman/Kardon,"2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB 3.1
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Không có đèn,Dài 359 mm - Rộng 235 mm - Dày 17.9 mm - Nặng 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 42 Wh",Windows 10 Home SL,2021
